CustomerID,Recommendations
C0001,"[('C0152', 0.9955578903696995), ('C0174', 0.9622416483184486), ('C0011', 0.9606331285162886)]"
C0002,"[('C0134', 0.9731012128548824), ('C0106', 0.9364643685898864), ('C0027', 0.9299782257879564)]"
C0003,"[('C0052', 0.9904963603336957), ('C0129', 0.9614695629511277), ('C0137', 0.9595726869863653)]"
C0004,"[('C0108', 0.9831561461664591), ('C0102', 0.9803130983957051), ('C0113', 0.9797601893470166)]"
C0005,"[('C0159', 0.9997119141250912), ('C0027', 0.9757972881385061), ('C0007', 0.9521604446037676)]"
C0006,"[('C0187', 0.92134193414492), ('C0158', 0.9156685109880083), ('C0148', 0.9052648500887747)]"
C0007,"[('C0159', 0.9590535783286062), ('C0005', 0.9521604446037676), ('C0193', 0.9418127730817802)]"
C0008,"[('C0024', 0.917125139500667), ('C0098', 0.9081260420242835), ('C0194', 0.9033535452023872)]"
C0009,"[('C0121', 0.9859281499375558), ('C0119', 0.9467151605277673), ('C0014', 0.9362837483628542)]"
C0010,"[('C0199', 0.9939478312151196), ('C0062', 0.9661660393821745), ('C0121', 0.9384184729224045)]"
C0011,"[('C0107', 0.9949156228987327), ('C0001', 0.9606331285162886), ('C0152', 0.940342366496002)]"
C0012,"[('C0013', 0.9696206639844431), ('C0126', 0.9618741566051786), ('C0039', 0.9551726783736959)]"
C0013,"[('C0087', 0.9884056757989124), ('C0012', 0.9696206639844431), ('C0126', 0.9413377180810312)]"
C0014,"[('C0009', 0.9362837483628542), ('C0063', 0.8911468343763939), ('C0121', 0.8796015597095558)]"
C0015,"[('C0058', 0.9709806779144864), ('C0144', 0.9438868429837132), ('C0036', 0.943851735983568)]"
C0016,"[('C0183', 0.9995607801053119), ('C0026', 0.9511941422141897), ('C0067', 0.9280116093427637)]"
C0017,"[('C0075', 0.942913308976575), ('C0124', 0.9288186953314533), ('C0051', 0.9006949669991758)]"
C0018,"[('C0117', 0.9737462718615905), ('C0026', 0.9412268203222472), ('C0183', 0.9145176890713095)]"
C0019,"[('C0010', 0.9280439516625294), ('C0086', 0.9211827763842957), ('C0103', 0.9208703008709922)]"
C0020,"[('C0144', 0.9263031903352045), ('C0050', 0.8902687658200669), ('C0036', 0.8834466710118308)]"
